Kuala Lumpur,3.1516636,101.69430279999999
Moscow,55.7504461,37.6174943
Jakarta,-6.1753942,106.827183
Kuala Lumpur,3.1516636,101.69430279999999
Kuala Lumpur,3.1516636,101.69430279999999
Kuala Lumpur,3.1516636,101.69430279999999
Soul,37.5666791,126.97829140000002
Tokyo,35.682838700000005,139.7594549
Shang Hai,31.225298499999997,121.4890497
Paris,48.856610100000005,2.3514992
Tokyo,35.682838700000005,139.7594549
Shang Hai,31.225298499999997,121.4890497
Canberra,-35.2975906,149.1012676
Jakarta,-6.1753942,106.827183
Moscow,55.7504461,37.6174943
Kuala Lumpur,3.1516636,101.69430279999999
Kuala Lumpur,3.1516636,101.69430279999999
Kuala Lumpur,3.1516636,101.69430279999999
